scenario,rep,lam,L_max,method,E,rounds,rate_multiplier,client_rate,validation_mse,selected_vector_upload_bytes,standalone_all_candidate_vector_bytes,standalone_setup_scalar_bytes,standalone_validation_scalar_bytes,standalone_total_upload_bytes,selected_local_steps,all_candidate_local_steps,local_unit,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,1,100,1.0,0.1194130968609665,32.12870241487057,1440000.0,4320000.0,48.0,72.0,4320120.0,100.0,300.0,cached full-gradient evaluation,0.6744186046511628,56,19.087771760531783,1.1833955952056385e-05,0.004723390312962761,31.15865726195223
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,5,5,,,,72000.0,72000.0,24.0,0.0,72024.0,25.0,25.0,cyclic CD sweep,0.22857142857142856,215,21.289720771188637,2.201960844612806,0.2780859960098984,34.9743704147427
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,5,5,1.0,0.1194130968609665,33.3157302419508,72000.0,216000.0,48.0,72.0,216120.0,25.0,75.0,cached full-gradient evaluation,0.6835443037974683,49,19.131161235764086,0.0434013091882548,0.0966096494984221,32.35225093877062
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,5,10,,,,144000.0,144000.0,24.0,0.0,144024.0,50.0,50.0,cyclic CD sweep,0.22857142857142856,215,21.28972162930817,2.201961702732337,0.27808617377096456,34.974371919187554
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,5,10,1.0,0.1194130968609665,32.65339557451107,144000.0,432000.0,48.0,72.0,432120.0,50.0,150.0,cached full-gradient evaluation,0.6835443037974683,49,19.10484344413227,0.017083517556439887,0.060733536566065005,31.59245009588187
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,5,20,,,,288000.0,288000.0,24.0,0.0,288024.0,100.0,100.0,cyclic CD sweep,0.22857142857142856,215,21.2897216293115,2.2019617027356695,0.2780861737727508,34.97437191920731
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,5,20,1.0,0.1194130968609665,32.494810328987406,288000.0,864000.0,48.0,72.0,864120.0,100.0,300.0,cached full-gradient evaluation,0.7088607594936709,49,19.10314180181017,0.015381875234339759,0.06553356155516826,31.41513009812929
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,5,50,,,,720000.0,720000.0,24.0,0.0,720024.0,250.0,250.0,cyclic CD sweep,0.22857142857142856,215,21.2897216293115,2.2019617027356695,0.27808617377275097,34.974371919207314
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,5,50,0.3,0.03582392905828995,32.20120988141572,720000.0,2160000.0,48.0,72.0,2160120.0,250.0,750.0,cached full-gradient evaluation,0.6823529411764706,55,19.088931331738554,0.0011714051627222943,0.017763057407512273,31.22621320911112
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,5,100,,,,1440000.0,1440000.0,24.0,0.0,1440024.0,500.0,500.0,cyclic CD sweep,0.22857142857142856,215,21.2897216293115,2.2019617027356695,0.2780861737727508,34.97437191920731
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,5,100,0.3,0.03582392905828995,32.1847837328757,1440000.0,4320000.0,48.0,72.0,4320120.0,500.0,1500.0,cached full-gradient evaluation,0.6823529411764706,55,19.088902540235132,0.0011426136593009062,0.018638372008761728,31.211638188252564
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,20,5,,,,72000.0,72000.0,24.0,0.0,72024.0,100.0,100.0,cyclic CD sweep,0.225,210,21.31444069007222,2.2266807634963897,0.29025106846786175,35.09044868484315
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,20,5,0.3,0.03582392905828995,33.330309121664854,72000.0,216000.0,48.0,72.0,216120.0,100.0,300.0,cached full-gradient evaluation,0.7012987012987013,47,19.132737194715723,0.04497726813989189,0.11996625369339398,32.2544606674259
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,20,10,,,,144000.0,144000.0,24.0,0.0,144024.0,200.0,200.0,cyclic CD sweep,0.225,210,21.31444069007223,2.2266807634964003,0.2902510684678673,35.090448684843196
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,20,10,0.3,0.03582392905828995,32.771975971715925,144000.0,432000.0,48.0,72.0,432120.0,200.0,600.0,cached full-gradient evaluation,0.7012987012987013,47,19.11316393771075,0.02540401113491697,0.09022562417968882,31.646808951730605
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,20,20,,,,288000.0,288000.0,24.0,0.0,288024.0,400.0,400.0,cyclic CD sweep,0.225,210,21.31444069007223,2.2266807634964003,0.29025106846786713,35.090448684843196
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,20,20,0.1,0.01194130968609665,32.46105293374855,288000.0,864000.0,48.0,72.0,864120.0,400.0,1200.0,cached full-gradient evaluation,0.6823529411764706,55,19.093187044091138,0.00542711751530689,0.03140503725546995,31.496869616309564
IID,5036,0.3669722599869383,8.374290813044627,FedAvg-CD-common,20,50,,,,720000.0,720000.0,24.0,0.0,720024.0,1000.0,1000.0,cyclic CD sweep,0.225,210,21.31444069007223,2.2266807634964003,0.29025106846786697,35.090448684843196
IID,5036,0.3669722599869383,8.374290813044627,FedDualAvg-adapted,20,50,0.1,0.01194130968609665,32.22704594676801,720000.0,2160000.0,48.0,72.0,2160120.0,1000.0,3000.0,cached full-gradient evaluation,0.6823529411764706,55,19.090491413273213,0.0027314866973817686,0.028014472385646805,31.24175656873801
