active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,upload_kib,coef_err,test_mse,lam,scenario,rep,final_obj,tau
208,28,180,2,390,0.1346153846153846,0.9333333333333332,0.2352941176470588,0.1333333333333333,FedAvg,10.0,4.0,40.0,56.25,2.616624668647128,22.508704865219844,0.5213007200438334,Independent,2021,17.951779159147492,
68,26,42,4,528,0.3823529411764705,0.8666666666666667,0.5306122448979592,0.3611111111111111,FedAvg-ST,10.0,5.0,40.0,70.3125,2.827318557930509,23.87434631248688,0.5213007200438334,Independent,2021,14.959667273887264,0.0722099883076552
208,28,180,2,390,0.1346153846153846,0.9333333333333332,0.2352941176470588,0.1333333333333333,FedAvg,15.0,3.0,45.0,42.1875,2.616741342351637,22.509658196204256,0.5213007200438334,Independent,2021,17.951618790953276,
68,26,42,4,528,0.3823529411764705,0.8666666666666667,0.5306122448979592,0.3611111111111111,FedAvg-ST,15.0,4.0,45.0,56.25,2.827192791201589,23.872528024837585,0.5213007200438334,Independent,2021,14.958896356748111,0.0722099883076552
208,28,180,2,390,0.1346153846153846,0.9333333333333332,0.2352941176470588,0.1333333333333333,FedAvg,20.0,3.0,60.0,42.1875,2.6167224318456968,22.50962152623373,0.5213007200438334,Independent,2021,17.951582090620082,
68,26,42,4,528,0.3823529411764705,0.8666666666666667,0.5306122448979592,0.3611111111111111,FedAvg-ST,20.0,4.0,60.0,56.25,2.8271464601717287,23.872096121063077,0.5213007200438334,Independent,2021,14.958814368363482,0.0722099883076552
162,29,133,1,437,0.1790123456790123,0.9666666666666668,0.3020833333333333,0.1779141104294478,Pooled,,,,,1.872711179323813,23.758168939499416,0.1641514625142979,Independent,2022,,
108,27,81,3,489,0.25,0.9,0.391304347826087,0.2432432432432432,Local-only,,0.0,,0.0,2.7664885380126814,27.92661019536676,0.2797444390408816,Independent,2022,,
178,28,150,2,420,0.1573033707865168,0.9333333333333332,0.2692307692307693,0.1555555555555555,One-shot,,1.0,,14.0625,2.700218093477381,27.301058459041517,0.4069108814691199,Independent,2022,,
37,28,9,2,561,0.7567567567567568,0.9333333333333332,0.835820895522388,0.717948717948718,ADMM,,59.0,,829.6875,2.315832353843048,25.249766992272875,0.4069108814691199,Independent,2022,,
196,28,168,2,402,0.1428571428571428,0.9333333333333332,0.247787610619469,0.1414141414141414,FedAvg,1.0,13.0,13.0,182.8125,2.628239847018372,26.91747031482017,0.4069108814691199,Independent,2022,17.854311645875597,
51,27,24,3,546,0.5294117647058824,0.9,0.6666666666666667,0.5,FedAvg-ST,1.0,14.0,13.0,196.875,2.9429166782067204,28.501154243078677,0.4069108814691199,Independent,2022,16.664672993603553,0.0882451580838695
188,28,160,2,410,0.1489361702127659,0.9333333333333332,0.2568807339449541,0.1473684210526315,FedAvg,2.0,8.0,16.0,112.5,2.6750334478192226,27.123308145669075,0.4069108814691199,Independent,2022,17.716545993298382,
49,27,22,3,548,0.5510204081632653,0.9,0.6835443037974683,0.5192307692307693,FedAvg-ST,2.0,9.0,16.0,126.5625,3.0041219974551625,28.90885729525423,0.4069108814691199,Independent,2022,16.77474029922964,0.0882451580838695
178,28,150,2,420,0.1573033707865168,0.9333333333333332,0.2692307692307693,0.1555555555555555,FedAvg,3.0,6.0,18.0,84.375,2.690558775242544,27.226566697764188,0.4069108814691199,Independent,2022,17.7270971230283,
60,27,33,3,537,0.45,0.9,0.6,0.4285714285714285,FedAvg-ST,3.0,7.0,18.0,98.4375,2.941531125805611,28.54949871594979,0.4069108814691199,Independent,2022,16.816537737194693,0.070526051435653
179,28,151,2,419,0.1564245810055866,0.9333333333333332,0.2679425837320574,0.154696132596685,FedAvg,5.0,4.0,20.0,56.25,2.698472589078845,27.287614936678523,0.4069108814691199,Independent,2022,17.74631263603905,
