scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,vector_kib_m,scalar_kib_m,upload_kib_m,selected_rounds_m,selected_local_epochs_m,selected_vector_kib_m,tuning_rounds_m,total_rounds_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,One-shot-1SE,,200,58.455,21.955,36.5,0.425662788888756,0.7318333333333333,0.5135085911872957,0.3499727172895365,3.6966354609838117,33.72288255607291,1.0,,14.0625,0.0,14.0625,1.0,,14.0625,0.0,1.0,0.006094344688476412,0.005561166627188599,0.021940994778436154,0.29910613816557413,0.00898940843362897,0.009832099211806706,1.7096209797707682
Correlated,Pooled,,200,120.835,28.99,91.845,0.253972786459634,0.9663333333333334,0.39814986957066134,0.2511309077505982,2.0714415830290394,24.350382454301354,,,,0.0,,,,,,,0.005098615214854667,0.004072895775999453,0.014144340324108648,0.20375843787873282,0.002302985220720382,0.004247257627756329,2.143305312669332
Correlated,Pooled-1SE,,200,51.545,26.89,24.655,0.5530697990131331,0.8963333333333334,0.672753658374275,0.5128678370673884,2.4213221448603317,25.994295563659854,,,,0.0,,,,,,,0.005963678716444064,0.0067183533371105945,0.018238067556920298,0.2277098927821728,0.004475817521998516,0.008620763387808207,0.9920234004980314
Heterogeneous,ADMM,,200,37.33,17.9,19.43,0.6501913718424843,0.5966666666666667,0.5291578457920644,0.3733572238831966,3.4214569345140817,42.688828228913195,65.79,,925.171875,0.0,925.171875,65.79,,925.171875,0.0,65.79,0.010803724092349882,0.009372607317539515,0.044805432452488594,0.45797741128682196,0.017268853136950067,0.017120901822395725,2.0250703815549858
Heterogeneous,ADMM-CV,,200,119.075,26.755,92.32,0.2484166306072812,0.8918333333333334,0.3807636595062678,0.23867655382795083,2.731906342177626,38.11132653532071,,,,0.0,,,,,,,0.006051501210894579,0.004754867703161119,0.019852623235023712,0.32437951182334995,0.0045359627560147674,0.0054158982612056514,2.925128846537229
Heterogeneous,ADMM-CV-1SE,,200,33.135,18.88,14.255,0.6477148840981871,0.6293333333333333,0.5957889653197741,0.43464268031272374,3.391516466460029,42.332114934059106,,,,0.0,,,,,,,0.009200840833147431,0.008052003688069754,0.034746144456297826,0.4351322324875463,0.013296767280076106,0.014527360293209314,1.3465884214875838
Heterogeneous,FedAvg,1.0,200,249.52,28.24,221.28,0.12496303197396286,0.9413333333333334,0.21824645095610185,0.12371086400669551,3.060484407336489,39.86113623513898,14.055,14.055,197.6484375,0.0,197.6484375,14.055,14.055,197.6484375,0.0,14.055,0.0041256587942176725,0.002653001316653882,0.019313159211650686,0.3266346959923661,0.003181114006207787,0.0027347512558460185,6.0158540958464535
Heterogeneous,FedAvg,2.0,200,221.14,28.04,193.1,0.1415467731753499,0.9346666666666666,0.24268438027381606,0.13971478351056343,3.0653592060906885,39.86922400104132,9.125,18.25,128.3203125,0.0,128.3203125,9.125,18.25,128.3203125,0.0,9.125,0.0046470069800382445,0.003074039585135576,0.01846811368301795,0.3262742038198345,0.0034795405846270873,0.0031949873452572415,5.840221996193649
Heterogeneous,FedAvg,3.0,200,206.825,27.92,178.905,0.1494523944561711,0.9306666666666666,0.2544111942180459,0.1473484958331732,3.0747644635163947,39.90518818108019,7.525,22.575,105.8203125,0.0,105.8203125,7.525,22.575,105.8203125,0.0,7.525,0.004591104040970677,0.0030678906029726095,0.018245372991748436,0.32647152700005655,0.0036250878423674036,0.0031946298905987463,5.414852260219109
Heterogeneous,FedAvg,5.0,200,195.705,27.805,167.9,0.15565908751160235,0.9268333333333334,0.26352919976025024,0.15330907197404353,3.0854538702923087,39.94984005688714,6.255,31.275,87.9609375,0.0,87.9609375,6.255,31.275,87.9609375,0.0,6.255,0.004476262963108581,0.0030216834400877335,0.018062100505824904,0.3261522378956716,0.003756234348707766,0.0031524997018329607,4.91241784873834
Heterogeneous,FedAvg,8.0,200,190.39,27.77,162.62,0.15857737808779326,0.9256666666666666,0.26788555553014193,0.15614334711844435,3.0915761666752406,39.97412036798212,5.295,42.36,74.4609375,0.0,74.4609375,5.295,42.36,74.4609375,0.0,5.295,0.004369781760778178,0.0029627953184181424,0.017982953907229843,0.32586488510767847,0.003763752003749536,0.0030935561514026555,4.526287206905565
Heterogeneous,FedAvg,10.0,200,188.645,27.74,160.905,0.15936760931571123,0.9246666666666666,0.2690498724995088,0.15689404904255505,3.0932794373610477,39.980452306066056,4.905,49.05,68.9765625,0.0,68.9765625,4.905,49.05,68.9765625,0.0,4.905,0.004326008127281993,0.002938358227521579,0.017965147877026456,0.325806028173045,0.0037898450812414693,0.0030685020749480927,4.358979050974457
Heterogeneous,FedAvg,15.0,200,186.44,27.725,158.715,0.16046189816244483,0.9241666666666667,0.27069641501462866,0.1579558526137055,3.0952664382975406,39.98827143041556,4.275,64.125,60.1171875,0.0,60.1171875,4.275,64.125,60.1171875,0.0,4.275,0.004261973138473151,0.0029012322790006335,0.017946518104129526,0.32580261787650433,0.003743130689545493,0.0030317402196092936,4.10929599418674
Heterogeneous,FedAvg,20.0,200,185.31,27.695,157.615,0.1608339744363539,0.9231666666666666,0.2712397690057036,0.1582993517613372,3.0960789949895964,39.991458172028175,3.86,77.2,54.28125,0.0,54.28125,3.86,77.2,54.28125,0.0,3.86,0.004228583831531463,0.002881974008251142,0.017938528125950925,0.32577541952840694,0.0037376074779741334,0.003012618194957985,3.9331945792180107
Heterogeneous,FedAvg-1SE,1.0,200,69.07,22.17,46.9,0.3959154197414121,0.7390000000000001,0.47469185230795313,0.31806275422720953,3.7401811517707517,44.73194166648585,7.875,7.875,110.7421875,0.0,110.7421875,7.875,7.875,110.7421875,0.0,7.875,0.007889051510350908,0.006693374466948131,0.023262661346265853,0.3794124267010911,0.01104053239962752,0.011908173299615231,2.593318725118502
Heterogeneous,FedAvg-1SE,2.0,200,59.195,21.78,37.415,0.441101895594924,0.726,0.5094659373642911,0.3489349013042771,3.7428994328812752,44.751542517941296,5.62,11.24,79.03125,0.0,79.03125,5.62,11.24,79.03125,0.0,5.62,0.007827329332870978,0.006865805677583301,0.02347836927887999,0.3818411168766862,0.011173870772984979,0.011939600294784667,2.1403247006285304
Heterogeneous,FedAvg-1SE,3.0,200,57.055,21.7,35.355,0.45009603523885827,0.7233333333333333,0.5168712009864482,0.35537402739788787,3.7419419791402184,44.74227659179242,4.755,14.265,66.8671875,0.0,66.8671875,4.755,14.265,66.8671875,0.0,4.755,0.0076358610850579345,0.006750066436183457,0.02353508332100255,0.3822057354482145,0.011125897475703523,0.011789928621138599,1.9851230294898738
Heterogeneous,FedAvg-1SE,5.0,200,55.76,21.63,34.13,0.45496398943465244,0.721,0.5205868105477847,0.3585218513160906,3.7421642246030533,44.740864128596385,3.855,19.275,54.2109375,0.0,54.2109375,3.855,19.275,54.2109375,0.0,3.855,0.007472836994664684,0.006641845836728368,0.02354552576393273,0.38249497244266756,0.011071338643699963,0.011622213716140035,1.8737976379373782
