scenario,E,rounds,metric,contrast,mean,se,n
Heterogeneous,20,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.4547031558326853,0.27588986482245614,50
Heterogeneous,20,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2887116034773731,0.03228592739299952,50
Heterogeneous,20,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.3815744337055826,0.06976444922303074,50
Heterogeneous,20,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.25757242914555223,0.01996782186695733,50
Heterogeneous,20,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.751910249894542,0.27961201504717703,50
Heterogeneous,20,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2641846588363358,0.030691559922770645,50
Heterogeneous,20,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.4354699106100095,0.06888681396834728,50
Heterogeneous,20,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.3148010763456157,0.019612204134452808,50
Heterogeneous,20,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.9598193313177381,0.28813566797606194,50
Heterogeneous,20,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.2640213234162447,0.030675071878073123,50
Heterogeneous,20,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-2.4360939395177534,0.06891493013852988,50
Heterogeneous,20,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.3145328851370051,0.01957023069417554,50
Heterogeneous,20,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.9732707639410507,0.28927542001325834,50
IID,1,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.3331382869615675,0.01609313455388225,50
IID,1,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-0.8273180982603121,0.042501007847582366,50
IID,1,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,0.2617955109753332,0.014041219240881914,50
IID,1,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,3.970540560782489,0.09367789497629363,50
IID,1,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.38093584326112867,0.017730494544113212,50
IID,1,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.4296210134780705,0.04296129983790965,50
IID,1,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,0.03444324271693972,0.009416054996900156,50
IID,1,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,1.0634235718525953,0.10270670991867403,50
IID,1,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.43876079429984494,0.018769901239740226,50
IID,1,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6626262082546517,0.04990799809715767,50
IID,1,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.13527810532387888,0.006736251400589159,50
IID,1,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-0.8588797805091956,0.14200039880119894,50
IID,1,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4721968342308111,0.01910503639996324,50
IID,1,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6949823153597539,0.051318775422723506,50
IID,1,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.20498724232851726,0.006072026965387584,50
IID,1,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.6035151739632512,0.16384774289021964,50
IID,1,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.47542388456916457,0.019308598912039714,50
IID,1,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6953177913364832,0.051341419802766686,50
IID,1,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.21052223930934374,0.006115572387970801,50
IID,1,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.6444154590857283,0.16604294727095548,50
IID,5,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4358300024767924,0.020625367832316895,50
IID,5,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5785919913764195,0.05214567820226223,50
IID,5,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.14680816401410263,0.005648665727788512,50
IID,5,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.476146247929616,0.1767601050191606,50
IID,5,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4580819175699514,0.021689901704288646,50
IID,5,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6049780153994895,0.05372914004183443,50
IID,5,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.17586491231122092,0.005806357459100719,50
IID,5,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.030959156033863,0.19699865076530942,50
IID,5,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.46373367447796454,0.020699197260469576,50
IID,5,20,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.606991018976733,0.05382137176750506,50
IID,5,20,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.1818320702443226,0.005824762337293491,50
IID,5,20,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.1075947807423345,0.19814329074325118,50
IID,5,50,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.44885658217399427,0.020050275379607376,50
IID,5,50,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6120860668213357,0.054148323898017985,50
IID,5,50,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.20769924678301382,0.005731514232194722,50
IID,5,50,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.232573093036592,0.19743053839432156,50
IID,5,100,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4456889996833358,0.019657998809584836,50
IID,5,100,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6135918933389501,0.054311606383074744,50
IID,5,100,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.21232552172205402,0.005723227211376334,50
IID,5,100,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.2505596845616327,0.19664842800798396,50
IID,20,5,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.47929250281342756,0.02199521818410096,50
IID,20,5,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.5891772308230978,0.053679219518988075,50
IID,20,5,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.11947892633214491,0.009187670607095489,50
IID,20,5,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-1.6541667364665147,0.19340146750359447,50
IID,20,10,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4625211227735068,0.02186628459418596,50
IID,20,10,objective_gap,FedDualAvg-adapted minus FedAvg-CD-common,-1.6264881867919463,0.05609267973679707,50
IID,20,10,kkt_mapping,FedDualAvg-adapted minus FedAvg-CD-common,-0.16357957006730475,0.006530738210074324,50
IID,20,10,test_mse,FedDualAvg-adapted minus FedAvg-CD-common,-2.051628001990634,0.2067066820326596,50
IID,20,20,F1,FedDualAvg-adapted minus FedAvg-CD-common,0.4618264925196191,0.020542338013930718,50
