scenario,rep,lam,L_max,E,rounds,client_rate,rate_multiplier,validation_mse,selected,F1,active,objective,objective_gap,kkt_mapping,test_mse
IID,5000,0.3596450198881253,8.45756145698442,5,10,0.01182373908940597,0.1,28.84702653697586,False,0.54,70,18.173001203117586,1.170652528911635,0.5677275882001596,34.53863841769146
IID,5000,0.3596450198881253,8.45756145698442,5,10,0.03547121726821791,0.3,24.598181166964878,False,0.627906976744186,56,17.135092837783958,0.1327441635780069,0.16842379553250786,29.838824471990215
IID,5000,0.3596450198881253,8.45756145698442,5,10,0.1182373908940597,1.0,23.303354662359336,True,0.75,42,17.012249105488646,0.00990043128269491,0.059813385618119164,28.361388142301045
IID,5000,0.3596450198881253,8.45756145698442,5,20,0.01182373908940597,0.1,25.865077737964704,False,0.6,60,17.365084761186434,0.3627360869804832,0.29668235115134,31.232968085545526
IID,5000,0.3596450198881253,8.45756145698442,5,20,0.03547121726821791,0.3,23.369752334973448,False,0.6923076923076923,48,17.010615395210852,0.008266721004901001,0.03725750383337334,28.46904702636264
IID,5000,0.3596450198881253,8.45756145698442,5,20,0.1182373908940597,1.0,23.225581149868184,True,0.75,42,17.011144018863092,0.008795344657141158,0.07275459634665221,28.273347785088045
IID,5000,0.3596450198881253,8.45756145698442,5,50,0.01182373908940597,0.1,23.507548967802908,False,0.6506024096385542,53,17.019904126317325,0.01755545211137388,0.05447284431260546,28.63144675571104
IID,5000,0.3596450198881253,8.45756145698442,5,50,0.03547121726821791,0.3,23.076289456361557,True,0.7297297297297297,44,17.003171509412336,0.000822835206385264,0.017232774860005073,28.152276041435055
IID,5000,0.3596450198881253,8.45756145698442,5,50,0.1182373908940597,1.0,23.22207410520404,False,0.75,42,17.01101744009619,0.008668765890238461,0.07348929581380409,28.26682736983725
IID,5000,0.3596450198881253,8.45756145698442,5,100,0.01182373908940597,0.1,23.07355533921976,False,0.7105263157894737,46,17.002629777244017,0.0002811030380662771,0.009045994822504788,28.1575797457053
IID,5000,0.3596450198881253,8.45756145698442,5,100,0.03547121726821791,0.3,23.07080474108496,True,0.7297297297297297,44,17.00315812584855,0.0008094516425991571,0.01698391360044149,28.145630150979812
IID,5000,0.3596450198881253,8.45756145698442,5,100,0.1182373908940597,1.0,23.222225715505,False,0.75,42,17.011016406966686,0.008667732760734737,0.07357239381323738,28.266421125548813
IID,5000,0.3596450198881253,8.45756145698442,20,5,0.01182373908940597,0.1,26.150231428272054,False,0.6136363636363636,58,17.424611606861298,0.42226293265534665,0.322206274056854,31.556693300319203
IID,5000,0.3596450198881253,8.45756145698442,20,5,0.03547121726821791,0.3,23.817395274939596,False,0.7323943661971831,41,17.041644828209854,0.03929615400390318,0.07241372834678139,28.917936832917896
IID,5000,0.3596450198881253,8.45756145698442,20,5,0.1182373908940597,1.0,23.809748324771405,True,0.8421052631578947,27,17.140025814598733,0.1376771403927819,0.2508462681937746,28.990901935075584
IID,5000,0.3596450198881253,8.45756145698442,20,10,0.01182373908940597,0.1,24.010770184869695,False,0.6585365853658537,52,17.059334407216966,0.056985733011014617,0.10519988677599068,29.17739444170055
IID,5000,0.3596450198881253,8.45756145698442,20,10,0.03547121726821791,0.3,23.34699936340325,True,0.7714285714285715,40,17.019195862922,0.01684718871604929,0.09295895981299268,28.39753824435699
IID,5000,0.3596450198881253,8.45756145698442,20,10,0.1182373908940597,1.0,23.741998867543003,False,0.8275862068965517,28,17.13414654133559,0.13179786712963804,0.2499757295052733,28.892515368447288
IID,5000,0.3596450198881253,8.45756145698442,20,20,0.01182373908940597,0.1,23.22820018020907,True,0.7105263157894737,46,17.00588652560458,0.003537851398629499,0.029197930962062912,28.31477681455631
IID,5000,0.3596450198881253,8.45756145698442,20,20,0.03547121726821791,0.3,23.289360099424115,False,0.7714285714285715,40,17.01740199473162,0.015053320525669989,0.09116998900418322,28.33258334938265
IID,5000,0.3596450198881253,8.45756145698442,20,20,0.1182373908940597,1.0,23.728703021126154,False,0.8275862068965517,28,17.132989161821115,0.1306404876151639,0.2496659658331814,28.87700974397469
IID,5000,0.3596450198881253,8.45756145698442,20,50,0.01182373908940597,0.1,23.106333811817063,True,0.75,42,17.004053624639592,0.0017049504336412724,0.024268823217724,28.174698752921337
IID,5000,0.3596450198881253,8.45756145698442,20,50,0.03547121726821791,0.3,23.287247304742174,False,0.7714285714285715,40,17.017307675363654,0.014959001157702545,0.09104571500443831,28.328950210259887
IID,5000,0.3596450198881253,8.45756145698442,20,50,0.1182373908940597,1.0,23.729139996653654,False,0.8275862068965517,28,17.132956343516717,0.13060766931076628,0.2496328324806189,28.87673116707339
IID,5000,0.3596450198881253,8.45756145698442,20,100,0.01182373908940597,0.1,23.105509861808518,True,0.75,42,17.004039144760405,0.0016904705544540377,0.024257553100772267,28.173081355892954
