active,TP,FP,FN,TN,precision,recall,F1,jaccard,coef_err,test_mse,rule,E,seed,converged,rounds,kib,lambda1,lambda2,lambda3
600,30,570,0,0,0.05,1,0.095238095,0.05,2.53E+59,6.16E+118,EBIC_g05,3,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,6.58E+59,4.55E+119,EBIC_g05,5,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.56E+59,2.06E+119,EBIC_g05,10,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.32E+59,5.39E+118,EBIC_g05,20,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,1.41E+59,1.92E+118,EBIC_g10,1,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.53E+59,6.16E+118,EBIC_g10,3,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,6.58E+59,4.55E+119,EBIC_g10,5,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,4.56E+59,2.06E+119,EBIC_g10,10,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
600,30,570,0,0,0.05,1,0.095238095,0.05,2.32E+59,5.39E+118,EBIC_g10,20,20,FALSE,3000,42187.5,1.00E-04,1.00E-04,1.00E-04
38,30,8,0,562,0.789473684,1,0.882352941,0.789473684,3.449493027,12.28646195,oracle_F1,1,20,TRUE,8,112.5,0.529831691,0.529831691,1
40,30,10,0,560,0.75,1,0.857142857,0.75,3.527440953,12.81876127,oracle_F1,3,20,TRUE,4,56.25,0.529831691,0.529831691,1
40,30,10,0,560,0.75,1,0.857142857,0.75,3.532006489,12.84759787,oracle_F1,5,20,TRUE,3,42.1875,0.529831691,0.529831691,1
40,30,10,0,560,0.75,1,0.857142857,0.75,3.532283332,12.84919978,oracle_F1,10,20,TRUE,3,42.1875,0.529831691,0.529831691,1
40,30,10,0,560,0.75,1,0.857142857,0.75,3.532282295,12.84919721,oracle_F1,20,20,TRUE,2,28.125,0.529831691,0.529831691,1
