"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
146,30,116,0,454,0.205479452054795,1,0.340909090909091,0.205479452054795,1.66067704291024,3.68510282394126,"BIC_corrected",5,4,5,TRUE,146
68.6,29.2,39.4,0.8,530.6,0.425655976676385,0.973333333333333,0.592292089249493,0.420749279538905,1.85171484018172,6.82436763094539,"BIC_corrected_localonly",5,4,5,TRUE,NA
30,30,0,0,570,1,1,1,1,1.64497656898425,3.58627126808544,"BIC_corrected_thresh",5,4,5,TRUE,30
142,30,112,0,458,0.211267605633803,1,0.348837209302326,0.211267605633803,1.69009552238697,3.79569942515269,"BIC_corrected",20,4,3,TRUE,142
68.6,29.2,39.4,0.8,530.6,0.425655976676385,0.973333333333333,0.592292089249493,0.420749279538905,1.85171484018172,6.82436763094539,"BIC_corrected_localonly",20,4,3,TRUE,NA
30,30,0,0,570,1,1,1,1,1.67365450549838,3.68580675591408,"BIC_corrected_thresh",20,4,3,TRUE,30
48,30,18,0,552,0.625,1,0.769230769230769,0.625,3.88614741813079,15.0817663928323,"oracle_F1",1,4,9,TRUE,48
56,30,26,0,544,0.535714285714286,1,0.697674418604651,0.535714285714286,4.13478217401941,17.0399280031908,"oracle_F1",5,4,3,TRUE,56
56,30,26,0,544,0.535714285714286,1,0.697674418604651,0.535714285714286,4.13723820913753,17.0576831408681,"oracle_F1",20,4,2,TRUE,56
324,30,294,0,276,0.0925925925925926,1,0.169491525423729,0.0925925925925926,0.578871040602164,1.21657321740325,"val_mse",1,5,15,TRUE,324
131.2,30,101.2,0,468.8,0.228658536585366,1,0.372208436724566,0.228658536585366,1.05871419461192,1.96197139626358,"val_mse_localonly",1,5,15,TRUE,NA
286,30,256,0,314,0.104895104895105,1,0.189873417721519,0.104895104895105,0.787943114054339,1.39253721184659,"val_mse",5,5,7,TRUE,286
131.2,30,101.2,0,468.8,0.228658536585366,1,0.372208436724566,0.228658536585366,1.05871419461192,1.96197139626358,"val_mse_localonly",5,5,7,TRUE,NA
278,30,248,0,322,0.107913669064748,1,0.194805194805195,0.107913669064748,0.870003299702354,1.51333898358763,"val_mse",20,5,5,TRUE,278
131.2,30,101.2,0,468.8,0.228658536585366,1,0.372208436724566,0.228658536585366,1.05871419461192,1.96197139626358,"val_mse_localonly",20,5,5,TRUE,NA
150,30,120,0,450,0.2,1,0.333333333333333,0.2,0.840297725067305,1.54868234079335,"val_1se",1,5,10,TRUE,150
69.9,30,39.9,0,530.1,0.429184549356223,1,0.600600600600601,0.429184549356223,1.19219439954943,2.29048608498655,"val_1se_localonly",1,5,10,TRUE,NA
30,30,0,0,570,1,1,1,1,0.829537858473706,1.54316813929774,"val_1se_thresh",1,5,10,TRUE,30
158,30,128,0,442,0.189873417721519,1,0.319148936170213,0.189873417721519,1.03364575794547,1.81503688476661,"val_1se",5,5,6,TRUE,158
69.9,30,39.9,0,530.1,0.429184549356223,1,0.600600600600601,0.429184549356223,1.19219439954943,2.29048608498655,"val_1se_localonly",5,5,6,TRUE,NA
30,30,0,0,570,1,1,1,1,1.01719224239048,1.82704515321612,"val_1se_thresh",5,5,6,TRUE,30
153,30,123,0,447,0.196078431372549,1,0.327868852459016,0.196078431372549,1.08248920270402,1.90168654054749,"val_1se",20,5,4,TRUE,153
69.9,30,39.9,0,530.1,0.429184549356223,1,0.600600600600601,0.429184549356223,1.19219439954943,2.29048608498655,"val_1se_localonly",20,5,4,TRUE,NA
30,30,0,0,570,1,1,1,1,1.06337470640104,1.90938221032708,"val_1se_thresh",20,5,4,TRUE,30
133,30,103,0,467,0.225563909774436,1,0.368098159509202,0.225563909774436,0.868556411460738,1.58543088426623,"BIC_corrected",1,5,10,TRUE,133
72.3,30,42.3,0,527.7,0.4149377593361,1,0.586510263929619,0.4149377593361,1.22955773861331,2.52470617124184,"BIC_corrected_localonly",1,5,10,TRUE,NA
30,30,0,0,570,1,1,1,1,0.857398269108193,1.58221310464904,"BIC_corrected_thresh",1,5,10,TRUE,30
149,30,119,0,451,0.201342281879195,1,0.335195530726257,0.201342281879195,1.07690531345659,1.89379200497128,"BIC_corrected",5,5,5,TRUE,149
72.3,30,42.3,0,527.7,0.4149377593361,1,0.586510263929619,0.4149377593361,1.22955773861331,2.52470617124184,"BIC_corrected_localonly",5,5,5,TRUE,NA
30,30,0,0,570,1,1,1,1,1.06044869335392,1.90242158000762,"BIC_corrected_thresh",5,5,5,TRUE,30
157,30,127,0,443,0.191082802547771,1,0.320855614973262,0.191082802547771,1.11719767175292,1.96832689970007,"BIC_corrected",20,5,3,TRUE,157
72.3,30,42.3,0,527.7,0.4149377593361,1,0.586510263929619,0.4149377593361,1.22955773861331,2.52470617124184,"BIC_corrected_localonly",20,5,3,TRUE,NA
30,30,0,0,570,1,1,1,1,1.09907079869001,1.97376092920453,"BIC_corrected_thresh",20,5,3,TRUE,30
47,30,17,0,553,0.638297872340426,1,0.779220779220779,0.638297872340426,3.982767692763,14.1161720838565,"oracle_F1",1,5,8,TRUE,47
51,30,21,0,549,0.588235294117647,1,0.740740740740741,0.588235294117647,4.19177041825765,15.4772477827663,"oracle_F1",5,5,4,TRUE,51
52,30,22,0,548,0.576923076923077,1,0.731707317073171,0.576923076923077,4.19754407334065,15.5117329824857,"oracle_F1",20,5,2,TRUE,52
431,30,401,0,169,0.0696055684454756,1,0.130151843817787,0.0696055684454756,0.559755831311881,1.08445509581337,"val_mse",1,6,23,TRUE,431
168.5,30,138.5,0,431.5,0.178041543026706,1,0.302267002518892,0.178041543026706,1.06674727033025,2.23112015617026,"val_mse_localonly",1,6,23,TRUE,NA
384,30,354,0,216,0.078125,1,0.144927536231884,0.078125,0.670969285604426,1.18753490902865,"val_mse",5,6,10,TRUE,384
168.5,30,138.5,0,431.5,0.178041543026706,1,0.302267002518892,0.178041543026706,1.06674727033025,2.23112015617026,"val_mse_localonly",5,6,10,TRUE,NA
348,30,318,0,252,0.0862068965517241,1,0.158730158730159,0.0862068965517241,0.755465781837659,1.29490580637815,"val_mse",20,6,7,TRUE,348
168.5,30,138.5,0,431.5,0.178041543026706,1,0.302267002518892,0.178041543026706,1.06674727033025,2.23112015617026,"val_mse_localonly",20,6,7,TRUE,NA
172,30,142,0,428,0.174418604651163,1,0.297029702970297,0.174418604651163,0.782682030815506,1.43751411484417,"val_1se",1,6,11,TRUE,172
