"active","TP","FP","FN","TN","precision","recall","F1","jaccard","coef_err","test_mse","rule","E","seed","rounds","converged","nnz"
233,28,205,2,365,0.120171673819742,0.933333333333333,0.212927756653992,0.119148936170213,1.10429944711974,1.50464869591704,"val_mse",5,6,6,TRUE,233
111.9,22,89.9,8,480.1,0.196604110813226,0.733333333333333,0.310077519379845,0.18348623853211,1.20395383920585,1.77461218360781,"val_mse_localonly",5,6,6,TRUE,NA
15.9,12.9,3,17.1,567,0.811320754716981,0.43,0.562091503267974,0.390909090909091,1.25532864052519,1.82836367298243,"val_mse_local_thresh",5,6,6,TRUE,NA
45,19,26,11,544,0.422222222222222,0.633333333333333,0.506666666666667,0.339285714285714,1.43984835042234,2.02083401804357,"val_1se",5,6,3,TRUE,45
23.6,10.8,12.8,19.2,557.2,0.457627118644068,0.36,0.402985074626866,0.252336448598131,1.47030409579275,2.11887061575502,"val_1se_localonly",5,6,3,TRUE,NA
7.8,6.8,1,23.2,569,0.871794871794872,0.226666666666667,0.35978835978836,0.219354838709677,1.49766405922535,2.17268267497586,"val_1se_local_thresh",5,6,3,TRUE,NA
14,13,1,17,569,0.928571428571429,0.433333333333333,0.590909090909091,0.419354838709677,1.46283671510763,2.07160163665727,"val_1se_thresh",5,6,3,TRUE,14
38,19,19,11,551,0.5,0.633333333333333,0.558823529411765,0.387755102040816,1.43856430729839,2.01798628233836,"BIC_corrected",5,6,3,TRUE,38
20.3,11.4,8.9,18.6,561.1,0.561576354679803,0.38,0.453280318091451,0.29305912596401,1.46563851353445,2.10406195148414,"BIC_corrected_localonly",5,6,3,TRUE,NA
8.9,7.9,1,22.1,569,0.887640449438202,0.263333333333333,0.406169665809769,0.254838709677419,1.48495106162633,2.13768122092738,"BIC_corrected_local_thresh",5,6,3,TRUE,NA
14,14,0,16,570,1,0.466666666666667,0.636363636363636,0.466666666666667,1.45004541393961,2.05792386042078,"BIC_corrected_thresh",5,6,3,TRUE,14
179,23,156,7,414,0.128491620111732,0.766666666666667,0.220095693779904,0.123655913978495,1.33948373602018,1.83435126517064,"path_best_F1",5,6,6,TRUE,179
257,30,227,0,343,0.116731517509728,1,0.209059233449477,0.116731517509728,0.939722681507376,1.56596596017615,"val_mse",5,7,7,TRUE,257
128.4,23.8,104.6,6.2,465.4,0.185358255451713,0.793333333333333,0.300505050505051,0.176820208023774,1.09332803331926,1.85139890138876,"val_mse_localonly",5,7,7,TRUE,NA
24.7,18,6.7,12,563.3,0.728744939271255,0.6,0.658135283363803,0.490463215258856,1.07131628363817,1.76251033932336,"val_mse_local_thresh",5,7,7,TRUE,NA
63,25,38,5,532,0.396825396825397,0.833333333333333,0.537634408602151,0.367647058823529,1.33748331020205,2.01691586007935,"val_1se",5,7,4,TRUE,63
34.6,15.8,18.8,14.2,551.2,0.456647398843931,0.526666666666667,0.489164086687306,0.323770491803279,1.36183086471267,2.0890745463945,"val_1se_localonly",5,7,4,TRUE,NA
12.1,11.1,1,18.9,569,0.917355371900826,0.37,0.527315914489311,0.358064516129032,1.38226684456502,2.10408358083489,"val_1se_local_thresh",5,7,4,TRUE,NA
17,16,1,14,569,0.941176470588235,0.533333333333333,0.680851063829787,0.516129032258065,1.37984542329763,2.10271001491891,"val_1se_thresh",5,7,4,TRUE,17
78,27,51,3,519,0.346153846153846,0.9,0.5,0.333333333333333,1.27388867981938,1.9285733397963,"BIC_corrected",5,7,4,TRUE,78
42.3,17,25.3,13,544.7,0.401891252955083,0.566666666666667,0.470262793914246,0.307414104882459,1.30671092515529,2.02221793913159,"BIC_corrected_localonly",5,7,4,TRUE,NA
12.3,11.8,0.5,18.2,569.5,0.959349593495935,0.393333333333333,0.557919621749409,0.386885245901639,1.32646417778946,2.03207572872135,"BIC_corrected_local_thresh",5,7,4,TRUE,NA
20,19,1,11,569,0.95,0.633333333333333,0.76,0.612903225806452,1.29209301478739,1.9362848229383,"BIC_corrected_thresh",5,7,4,TRUE,20
110,22,88,8,482,0.2,0.733333333333333,0.314285714285714,0.186440677966102,1.44213175622088,2.19879186108109,"path_best_F1",5,7,5,TRUE,110
198,30,168,0,402,0.151515151515152,1,0.263157894736842,0.151515151515152,1.03678555948493,1.86595174453621,"val_mse",5,8,5,TRUE,198
93.2,22,71.2,8,498.8,0.236051502145923,0.733333333333333,0.357142857142857,0.217391304347826,1.13081162993613,2.07632630365859,"val_mse_localonly",5,8,5,TRUE,NA
23.8,17.9,5.9,12.1,564.1,0.752100840336134,0.596666666666667,0.66542750929368,0.498607242339833,1.12654216492575,2.06608128064908,"val_mse_local_thresh",5,8,5,TRUE,NA
58,25,33,5,537,0.431034482758621,0.833333333333333,0.568181818181818,0.396825396825397,1.39023406920057,2.34332215120911,"val_1se",5,8,3,TRUE,58
