scenario,rep,lam,L_max,common_setup_scalar_bytes,dual_rate_setup_scalar_bytes,dual_all_E_vector_bytes,dual_all_E_all_checkpoints_validation_scalar_bytes,cd_all_E_vector_bytes,local_penalty_grid_fits_per_site,dual_local_gram_builds_per_site,dual_total_gradient_evaluations_per_site,cd_total_coordinate_sweeps_per_site,reference_kkt_mapping
Correlated,5037,0.286726810968026,10.874598801008847,24,24,12960000,1080,4320000,30,3,7800,2600,2.210820415626813e-11
Correlated,5038,0.34072885268562325,11.259232075255834,24,24,12960000,1080,4320000,30,3,7800,2600,2.5101976053321096e-11
Correlated,5039,0.8582929545193572,10.81527625507633,24,24,12960000,1080,4320000,30,3,7800,2600,6.997735724212362e-12
Correlated,5040,0.421864420290619,10.833887029355788,24,24,12960000,1080,4320000,30,3,7800,2600,1.2024034545810025e-11
Correlated,5041,0.485234189327303,11.134639210102526,24,24,12960000,1080,4320000,30,3,7800,2600,2.2184461949750767e-11
Correlated,5042,0.60223729944915,10.939232466280272,24,24,12960000,1080,4320000,30,3,7800,2600,1.0308087716737191e-11
Correlated,5043,0.4393590619064099,10.833741732160735,24,24,12960000,1080,4320000,30,3,7800,2600,1.7611714170362447e-11
Correlated,5044,0.4463099271805194,10.775926635703392,24,24,12960000,1080,4320000,30,3,7800,2600,2.877391380717853e-11
Correlated,5045,0.2946883091769562,10.677605423251709,24,24,12960000,1080,4320000,30,3,7800,2600,3.35102223747441e-11
Correlated,5046,0.5281136489372273,10.80143820187367,24,24,12960000,1080,4320000,30,3,7800,2600,1.3655659936162579e-11
Correlated,5047,0.40451402705581074,10.973121027186753,24,24,12960000,1080,4320000,30,3,7800,2600,1.2807088722865956e-11
Correlated,5048,0.4178284670127111,11.258243609467492,24,24,12960000,1080,4320000,30,3,7800,2600,1.6002310587737156e-11
Correlated,5049,0.4633820520669893,10.688999524188329,24,24,12960000,1080,4320000,30,3,7800,2600,1.196352045207405e-11
Heterogeneous,5000,0.5845196957719505,15.7260222364116,24,24,12960000,1080,4320000,30,3,7800,2600,8.458678202316605e-12
Heterogeneous,5001,1.368173565208055,15.112497518715067,24,24,12960000,1080,4320000,30,3,7800,2600,2.419175970658216e-13
Heterogeneous,5002,0.6996772744216977,15.117746753293462,24,24,12960000,1080,4320000,30,3,7800,2600,1.657604609128782e-11
Heterogeneous,5003,0.6058440593742668,15.074432530197765,24,24,12960000,1080,4320000,30,3,7800,2600,7.265160695268946e-12
Heterogeneous,5004,0.45202267794597706,15.42530752944565,24,24,12960000,1080,4320000,30,3,7800,2600,1.7211565506158877e-11
Heterogeneous,5005,0.8547451663495192,15.89344962600504,24,24,12960000,1080,4320000,30,3,7800,2600,5.888067811099518e-13
Heterogeneous,5006,0.5104936379806454,15.515133442902771,24,24,12960000,1080,4320000,30,3,7800,2600,3.1105340525527936e-11
Heterogeneous,5007,0.9705259231585978,15.46947712380973,24,24,12960000,1080,4320000,30,3,7800,2600,2.8696489628998734e-13
Heterogeneous,5008,0.5642033922555206,15.227784101557221,24,24,12960000,1080,4320000,30,3,7800,2600,1.0697775998380621e-11
Heterogeneous,5009,0.3104860857725426,15.83672355216187,24,24,12960000,1080,4320000,30,3,7800,2600,4.078903881321594e-11
Heterogeneous,5010,0.9441665589881262,15.311829349081075,24,24,12960000,1080,4320000,30,3,7800,2600,2.879563254509776e-11
Heterogeneous,5011,0.5241265208364542,16.077954396842465,24,24,12960000,1080,4320000,30,3,7800,2600,1.1212281103567534e-11
Heterogeneous,5012,0.46498624384355625,16.54260268509899,24,24,12960000,1080,4320000,30,3,7800,2600,1.5117740392867063e-11
Heterogeneous,5013,1.4740199389138764,15.378748456329049,24,24,12960000,1080,4320000,30,3,7800,2600,1.6653345369377348e-16
Heterogeneous,5014,0.49855455139644206,15.745075551988329,24,24,12960000,1080,4320000,30,3,7800,2600,1.208236288796627e-11
Heterogeneous,5015,0.5327300152577873,15.566834664866763,24,24,12960000,1080,4320000,30,3,7800,2600,1.6840057126543684e-11
Heterogeneous,5016,0.8187689519587951,15.303440068316513,24,24,12960000,1080,4320000,30,3,7800,2600,7.236738985838542e-12
Heterogeneous,5017,1.0576642805241518,15.409019752388167,24,24,12960000,1080,4320000,30,3,7800,2600,8.142722607296093e-13
Heterogeneous,5018,0.9491873138899115,15.43763229092267,24,24,12960000,1080,4320000,30,3,7800,2600,3.72613051524695e-12
Heterogeneous,5019,0.8175625921581762,15.805626880614062,24,24,12960000,1080,4320000,30,3,7800,2600,1.1697171009572571e-11
Heterogeneous,5020,0.6175693341913628,15.590099809166402,24,24,12960000,1080,4320000,30,3,7800,2600,1.0571085673483083e-11
Heterogeneous,5021,0.826645027102558,15.75161950547461,24,24,12960000,1080,4320000,30,3,7800,2600,6.5283334294008455e-12
Heterogeneous,5022,0.7732407137476698,15.7864230609927,24,24,12960000,1080,4320000,30,3,7800,2600,3.962941086399496e-12
Heterogeneous,5023,0.4012860362746084,15.658432768831041,24,24,12960000,1080,4320000,30,3,7800,2600,1.2718270880895943e-11
Heterogeneous,5024,0.4207315867319683,15.745229854005267,24,24,12960000,1080,4320000,30,3,7800,2600,3.0507249504374556e-11
Heterogeneous,5025,0.6432967015249897,15.906488500954502,24,24,12960000,1080,4320000,30,3,7800,2600,1.4572787421229805e-11
Heterogeneous,5026,0.5828271506842151,15.168004758593359,24,24,12960000,1080,4320000,30,3,7800,2600,1.1055351079036768e-11
Heterogeneous,5027,1.5107975792234667,16.02931180208131,24,24,12960000,1080,4320000,30,3,7800,2600,3.83026943495679e-15
Heterogeneous,5028,0.6044093469076299,15.2860571163357,24,24,12960000,1080,4320000,30,3,7800,2600,1.1183887149712746e-11
Heterogeneous,5029,0.5963356012369424,15.288579202107323,24,24,12960000,1080,4320000,30,3,7800,2600,1.5003054354423284e-11
Heterogeneous,5030,1.3573943286468435,14.626115821356276,24,24,12960000,1080,4320000,30,3,7800,2600,1.0623446566881967e-14
Heterogeneous,5031,1.8846106165227636,15.70456698367125,24,24,12960000,1080,4320000,30,3,7800,2600,7.147060721024445e-16
Heterogeneous,5032,0.5839358963576724,15.646794312355205,24,24,12960000,1080,4320000,30,3,7800,2600,3.103800549908442e-11
Heterogeneous,5033,0.5953470068846416,15.20520029441993,24,24,12960000,1080,4320000,30,3,7800,2600,7.634393117683658e-12
Heterogeneous,5034,0.6938463075201834,15.4266164683845,24,24,12960000,1080,4320000,30,3,7800,2600,8.996137168537643e-12
Heterogeneous,5035,0.4466583221269854,15.470941112012296,24,24,12960000,1080,4320000,30,3,7800,2600,3.0721869492822407e-11
Heterogeneous,5036,1.494621004537984,15.844249590419643,24,24,12960000,1080,4320000,30,3,7800,2600,1.2193024367945782e-13
Heterogeneous,5037,0.6138707525707839,15.413858870038405,24,24,12960000,1080,4320000,30,3,7800,2600,6.768530180778498e-12
Heterogeneous,5038,0.8234391924544178,15.617104581739563,24,24,12960000,1080,4320000,30,3,7800,2600,1.641464741908294e-12
Heterogeneous,5039,1.5813785397042586,15.3082675271581,24,24,12960000,1080,4320000,30,3,7800,2600,3.5045057134031055e-13
Heterogeneous,5040,1.2402562085011641,15.579169024206967,24,24,12960000,1080,4320000,30,3,7800,2600,2.6356694604601216e-13
Heterogeneous,5041,1.0304285335506174,14.76809982438985,24,24,12960000,1080,4320000,30,3,7800,2600,3.3260338927476596e-12
Heterogeneous,5042,1.5837225122836631,15.550924321023981,24,24,12960000,1080,4320000,30,3,7800,2600,2.8033131371785203e-15
Heterogeneous,5043,0.8995828656760647,15.86175441644125,24,24,12960000,1080,4320000,30,3,7800,2600,1.0220047030884416e-11
Heterogeneous,5044,0.47200515349784633,15.324004741854022,24,24,12960000,1080,4320000,30,3,7800,2600,1.5997383973065382e-11
Heterogeneous,5045,0.5253840960911537,15.518241521822908,24,24,12960000,1080,4320000,30,3,7800,2600,2.1226520541262062e-11
Heterogeneous,5046,0.6312202916101476,15.566162385524791,24,24,12960000,1080,4320000,30,3,7800,2600,2.0813906154160122e-12
Heterogeneous,5047,0.4849754226389212,15.650643916772252,24,24,12960000,1080,4320000,30,3,7800,2600,3.250577584879011e-11
Heterogeneous,5048,0.5297229930493165,14.809509675862262,24,24,12960000,1080,4320000,30,3,7800,2600,1.0870183225764052e-11
Heterogeneous,5049,0.5972895868697005,15.730670268835803,24,24,12960000,1080,4320000,30,3,7800,2600,1.900479773553343e-11
