active,TP,FP,FN,TN,precision,recall,F1,jaccard,method,E,rounds,local_epochs,selected_rounds,selected_local_epochs,selected_vector_kib,tuning_rounds,tuning_local_epochs,tuning_vector_kib,candidate_count,scalar_rounds,total_rounds,vector_kib,scalar_kib,upload_kib,coef_err,test_mse,lam,fit_converged,local_dual_gap,local_dual_gap_tolerance,solver_iterations,solver_restarts,scenario,rep,max_local_dual_gap_ratio,local_fit_iterations,local_fit_dual_gaps,final_obj,primal_residual,dual_residual_scaled,kkt_residual,fit_tolerance,hit_round_cap,final_update_norm,tau,candidate_rounds,all_candidates_converged
210,29,181,1,389,0.1380952380952381,0.9666666666666667,0.24166666666666667,0.13744075829383887,FedAvg-ST-min,5.0,5.0,25.0,5.0,25.0,70.3125,0.0,0.0,0.0,1,1,6.0,70.3125,2.8125,73.125,2.8208469524011126,31.178734687396922,0.3596450198881253,True,,,,,Independent,5000,,,,18.868226491197618,,,,1e-05,False,4.7742980795525515e-06,0.0,,
58,24,34,6,536,0.41379310344827586,0.8,0.5454545454545454,0.375,FedAvg-P,5.0,24.0,120.0,5.0,25.0,70.3125,19.0,95.0,267.1875,5,1,25.0,337.5,0.3515625,337.8515625,3.0721072508320653,32.80138031648549,0.3596450198881253,True,,,,,Independent,5000,,,,17.77925976397045,,,,1e-05,False,1.005276812964073e-06,0.08991125497203133,"[4, 5, 5, 5, 5]",True
204,29,175,1,395,0.14215686274509803,0.9666666666666667,0.24786324786324787,0.14146341463414633,FedAvg,8.0,4.0,32.0,4.0,32.0,56.25,0.0,0.0,0.0,1,0,4.0,56.25,0.0,56.25,2.8242164754297696,31.20819167742541,0.3596450198881253,True,,,,,Independent,5000,,,,18.874389893491923,,,,1e-05,False,6.113437648847078e-06,,,
33,16,17,14,553,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.3404255319148936,FedAvg-1SE,8.0,2.0,16.0,2.0,16.0,28.125,0.0,0.0,0.0,1,0,2.0,28.125,0.0,28.125,3.844377919908795,38.24900360348365,1.103660329907442,True,,,,,Independent,5000,,,,22.18338428088218,,,,1e-05,False,2.0147529355817224e-07,,,
46,24,22,6,548,0.5217391304347826,0.8,0.631578947368421,0.46153846153846156,FedAvg-ST,8.0,4.0,32.0,4.0,32.0,56.25,0.0,0.0,0.0,1,1,5.0,56.25,2.8125,59.0625,3.1912937551045237,33.5900381257748,0.3596450198881253,True,,,,,Independent,5000,,,,17.924979155333887,,,,1e-05,False,6.113437648847078e-06,0.12210916581034144,,
204,29,175,1,395,0.14215686274509803,0.9666666666666667,0.24786324786324787,0.14146341463414633,FedAvg-ST-min,8.0,4.0,32.0,4.0,32.0,56.25,0.0,0.0,0.0,1,1,5.0,56.25,2.8125,59.0625,2.8242164754297696,31.20819167742541,0.3596450198881253,True,,,,,Independent,5000,,,,18.874389893491923,,,,1e-05,False,6.113437648847078e-06,0.0,,
60,24,36,6,534,0.4,0.8,0.5333333333333333,0.36363636363636365,FedAvg-P,8.0,20.0,160.0,4.0,32.0,56.25,16.0,128.0,225.0,5,1,21.0,281.25,0.3515625,281.6015625,3.0713335982672127,32.794209472902864,0.3596450198881253,True,,,,,Independent,5000,,,,17.78082162349198,,,,1e-05,False,1.162691908784931e-06,0.08991125497203133,"[4, 4, 4, 4, 4]",True
204,29,175,1,395,0.14215686274509803,0.9666666666666667,0.24786324786324787,0.14146341463414633,FedAvg,10.0,4.0,40.0,4.0,40.0,56.25,0.0,0.0,0.0,1,0,4.0,56.25,0.0,56.25,2.8249232142996377,31.21335257467671,0.3596450198881253,True,,,,,Independent,5000,,,,18.87552762697439,,,,1e-05,False,9.125408285807669e-07,,,
33,16,17,14,553,0.48484848484848486,0.5333333333333333,0.5079365079365079,0.3404255319148936,FedAvg-1SE,10.0,2.0,20.0,2.0,20.0,28.125,0.0,0.0,0.0,1,0,2.0,28.125,0.0,28.125,3.844377964010006,38.24900391636209,1.103660329907442,True,,,,,Independent,5000,,,,22.183384335286,,,,1e-05,False,4.134203661506797e-09,,,
46,24,22,6,548,0.5217391304347826,0.8,0.631578947368421,0.46153846153846156,FedAvg-ST,10.0,4.0,40.0,4.0,40.0,56.25,0.0,0.0,0.0,1,1,5.0,56.25,2.8125,59.0625,3.1917764219077944,33.59257010176411,0.3596450198881253,True,,,,,Independent,5000,,,,17.92557042025184,,,,1e-05,False,9.125408285807669e-07,0.12210916581034144,,
204,29,175,1,395,0.14215686274509803,0.9666666666666667,0.24786324786324787,0.14146341463414633,FedAvg-ST-min,10.0,4.0,40.0,4.0,40.0,56.25,0.0,0.0,0.0,1,1,5.0,56.25,2.8125,59.0625,2.8249232142996377,31.21335257467671,0.3596450198881253,True,,,,,Independent,5000,,,,18.87552762697439,,,,1e-05,False,9.125408285807669e-07,0.0,,
60,24,36,6,534,0.4,0.8,0.5333333333333333,0.36363636363636365,FedAvg-P,10.0,19.0,190.0,4.0,40.0,56.25,15.0,150.0,210.9375,5,1,20.0,267.1875,0.3515625,267.5390625,3.071189681321161,32.792936227957014,0.3596450198881253,True,,,,,Independent,5000,,,,17.780752531914022,,,,1e-05,False,1.282409053753472e-07,0.08991125497203133,"[3, 4, 4, 4, 4]",True
