scenario,method,E,rounds,n,F1_mean,F1_se,active_mean,active_se,objective_gap_mean,objective_gap_se,kkt_mapping_mean,kkt_mapping_se,test_mse_mean,test_mse_se
Heterogeneous,FedAvg-CD-common,20,5,50,0.2846816307116129,0.007078933750954821,131.26,7.445081104532119,2.474987939392621,0.06671826550710945,0.4134293595867415,0.016537603252051405,44.99697545639674,0.7979419562809397
Heterogeneous,FedAvg-CD-common,20,10,50,0.2846816307116129,0.007078933750954821,131.26,7.445081104532119,2.474987927727298,0.06671826473481357,0.41342936031657496,0.01653760326341681,44.996975444648534,0.7979419581752176
Heterogeneous,FedAvg-CD-common,20,20,50,0.2846816307116129,0.007078933750954821,131.26,7.445081104532119,2.4749879277271316,0.06671826473480146,0.4134293603165862,0.016537603263417255,44.996975444647695,0.7979419581753305
Heterogeneous,FedAvg-CD-common,20,50,50,0.2846816307116129,0.007078933750954821,131.26,7.445081104532119,2.4749879277271316,0.06671826473480146,0.41342936031658634,0.01653760326341726,44.996975444647695,0.7979419581753306
Heterogeneous,FedAvg-CD-common,20,100,50,0.2846816307116129,0.007078933750954821,131.26,7.445081104532119,2.4749879277271316,0.06671826473480143,0.41342936031658634,0.01653760326341725,44.996975444647695,0.7979419581753308
Heterogeneous,FedDualAvg-adapted,1,5,50,0.41978045182047863,0.020685538317126148,62.14,6.747033210445696,1.1542301010718412,0.10890272951855096,0.6526594135078042,0.03314751860077363,47.79914337994984,0.7794516316912924
Heterogeneous,FedDualAvg-adapted,1,10,50,0.4447516081502954,0.020994984180173423,54.52,5.771869855831215,0.49978200366696085,0.04897212396861275,0.4161704560488537,0.020555631033161572,45.77140714710631,0.8240595554559885
Heterogeneous,FedDualAvg-adapted,1,20,50,0.47678490943580953,0.021604207531321376,46.56,4.709708600544285,0.11940750853590626,0.01340923417911643,0.18947208632760396,0.010086852452311494,44.06578830434794,0.8793391177446133
Heterogeneous,FedDualAvg-adapted,1,50,50,0.5084529951136386,0.02290723692868414,39.92,3.900375701422223,0.00533144861589736,0.0009541028124543132,0.0362969732607844,0.00579456034505222,43.04052733130822,0.9271629150871439
Heterogeneous,FedDualAvg-adapted,1,100,50,0.518423513154491,0.023185260483389116,38.76,3.7275105223027274,0.0024087261180170396,0.001414842817219603,0.01578762154835157,0.005818949927027484,42.91141937129656,0.9367942861839866
Heterogeneous,FedDualAvg-adapted,5,5,50,0.5560231604205818,0.02831161380877672,29.72,2.997010755634313,0.2556325230647804,0.024052129446145945,0.275630300211475,0.010532368347107149,44.37069921242714,0.8976609653875264
