scenario,method,E,n,active_m,TP_m,FP_m,precision_m,recall_m,F1_m,jaccard_m,coef_err_m,test_mse_m,rounds_m,local_epochs_m,upload_kib_m,F1_se,jaccard_se,coef_err_se,test_mse_se,recall_se,precision_se,active_se
Correlated,FedAvg-ST,10.0,100,61.07,23.85,37.22,0.4304527628860455,0.795,0.5447242430013957,0.38040598279147775,3.288962210863596,31.076659417470047,5.89,48.9,82.828125,0.00970951116305503,0.009264525066500832,0.03175032125188776,0.37836582644419076,0.0074667237852553145,0.012352524841633739,2.2777028566145994
Correlated,FedAvg-ST,15.0,100,60.91,23.86,37.05,0.43121166592425775,0.7953333333333333,0.5454704288028283,0.3810671144981426,3.2919730717113818,31.09293272006561,5.17,62.55,72.703125,0.009671792143534723,0.009229446298979154,0.03148071859294432,0.3776050264650171,0.007416122818936075,0.012365987329593894,2.223569566296862
Correlated,FedAvg-ST,20.0,100,61.38,23.88,37.5,0.4277594995547277,0.7959999999999999,0.5431305813224618,0.37862437004999827,3.290946814380999,31.084286926987744,4.76,75.2,66.9375,0.009535438153889896,0.00901231406987457,0.03152404087796069,0.37805214987672053,0.007450246495217871,0.012019073175911155,2.255846724501566
Correlated,Local-only,,100,107.69,25.37,82.32,0.25211362240240065,0.8456666666666667,0.38268904397149994,0.23923147026697691,3.0287856552756556,28.914321558016756,0.0,,0.0,0.007355197666351258,0.005811754659575053,0.029646779616120167,0.3389482765194327,0.006892716434242248,0.006631377184247341,2.9623801173374016
Correlated,One-shot,,100,198.81,27.89,170.92,0.14635291133661393,0.9296666666666666,0.2514776512066881,0.14459399500849007,3.0359033556995514,28.834869282898,1.0,,14.0625,0.004526777180164184,0.0030099169221463784,0.028497624311894624,0.3395085403979621,0.0048291808471334985,0.003091171317860808,4.177856368807315
Correlated,Pooled,,100,121.06,29.03,92.03,0.25462169206145085,0.9676666666666667,0.3988196661740617,0.252016604839521,2.0864604454552516,24.605426412294502,,,,0.007657027649038072,0.006225699802039603,0.020663367570285796,0.2768463778808374,0.003297960462145741,0.006432428492902439,3.04368264449565
Heterogeneous,ADMM,,100,44.01,19.39,24.62,0.6032562858418106,0.6463333333333334,0.536992382060502,0.37925607849656984,3.332714543259152,42.27654543786885,66.08,,929.25,0.01434073791773642,0.01266327367335639,0.06344239751867811,0.6516463018406466,0.0228393845357273,0.02443585367838283,3.2345200883624448
Heterogeneous,FedAvg,1.0,100,258.47,28.29,230.18,0.12084695094429854,0.943,0.21223476580611408,0.11969527861298426,3.054828859824343,40.04655179303262,14.25,14.25,200.390625,0.00530558825756353,0.003339213708274026,0.029885456267831314,0.46447866465243315,0.005020608483027022,0.003427934846610911,9.724284450837915
Heterogeneous,FedAvg,2.0,100,230.45,28.17,202.28,0.1368224521200968,0.9390000000000001,0.23617463151264492,0.1352298889872069,3.066228409197029,40.09578499389072,9.11,18.22,128.109375,0.006059384222336594,0.00391847293356336,0.028279710279825034,0.4621369637480443,0.004762719987937742,0.004043555080510265,9.612968670845998
Heterogeneous,FedAvg,3.0,100,218.01,28.04,189.97,0.14324380867824624,0.9346666666666666,0.24575608455681297,0.14140246873729084,3.0765726429437668,40.14741546366691,7.58,22.74,106.59375,0.005981294348474813,0.0038869448342475034,0.0278413322278112,0.4628576318696291,0.0048760161103985735,0.004025768349816807,9.19137161261648
Heterogeneous,FedAvg,5.0,100,206.2,27.86,178.34,0.1492938031928424,0.9286666666666668,0.25462573473831707,0.14717292932980958,3.0869397666337197,40.1928536114609,6.22,31.1,87.46875,0.005893545447228674,0.003855026628775646,0.02762850378366614,0.4638590196905585,0.005036789457175544,0.004004251964276837,8.519697912793184
Heterogeneous,FedAvg,8.0,100,200.16,27.73,172.43,0.15184538057615096,0.9243333333333333,0.2583323647827496,0.1495613055251406,3.092750197855051,40.21855512530691,5.34,42.72,75.09375,0.005757702517360311,0.003783474019355305,0.027543917854516018,0.4644347664631481,0.004965763820952122,0.0039372852642814956,7.893440826458895
Heterogeneous,FedAvg,10.0,100,198.01,27.74,170.27,0.15275136220590757,0.9246666666666666,0.2597446500867832,0.15044975741972377,3.0947683838775983,40.22711986818555,5.0,50.0,70.3125,0.005645089177447559,0.003720163474240222,0.027533182790733707,0.46449202891730706,0.005072316538005924,0.0038747960507030657,7.550884555848909
Heterogeneous,FedAvg,15.0,100,195.35,27.69,167.66,0.15378155504699426,0.9229999999999999,0.2612801664887697,0.15143873565394148,3.097248590443751,40.2370765566709,4.42,66.3,62.15625,0.005573399314163071,0.0036826969073839727,0.027518094412700703,0.4644684764982806,0.0049847128818046454,0.0038352496670613313,7.124610568836429
Heterogeneous,FedAvg,20.0,100,193.96,27.68,166.28,0.1542286901086123,0.9226666666666666,0.26197232257395925,0.15187564683154536,3.0983720965442507,40.24088732935797,3.98,79.6,55.96875,0.005513993838176024,0.0036532154145729853,0.02750982401655849,0.46448387376293027,0.0050113227575184615,0.0038042421727993137,6.805937989666959
Heterogeneous,FedAvg-ST,1.0,100,23.46,17.8,5.66,0.8300536991260012,0.5933333333333333,0.6535358548633414,0.5008982944104079,3.7202457084014027,44.93422136081212,15.25,14.25,214.453125,0.015515865178849484,0.013840484555057715,0.041740818750890155,0.5563506205379026,0.01841655430591743,0.01586926451812879,1.2557278866269257
Heterogeneous,FedAvg-ST,2.0,100,24.05,18.1,5.95,0.8240778341316066,0.6033333333333333,0.6602442759099313,0.5059219561948191,3.726897016656591,44.96454615280357,10.11,18.22,142.171875,0.013905253244806837,0.012941396178779579,0.04023415500080005,0.5545723582136876,0.017385185328645067,0.016112296559486223,1.2134244887503256
Heterogeneous,FedAvg-ST,3.0,100,24.33,18.15,6.18,0.8177440172377785,0.605,0.6598492677116073,0.5052121023056922,3.729156881287352,44.9734052185389,8.58,22.74,120.65625,0.01364018600063699,0.012945132785260998,0.03978585735588805,0.5565107586264697,0.017078251276599333,0.01662945797334512,1.198235655815953
Heterogeneous,FedAvg-ST,5.0,100,24.53,18.18,6.35,0.8152147796731437,0.606,0.6580449130461374,0.502272588763155,3.741451313125061,45.06335530030622,7.22,31.1,101.53125,0.013198204812450041,0.012435224664052997,0.03958770460850264,0.5574648026211828,0.017176576852450134,0.01706055709817378,1.2046588854538987
Heterogeneous,FedAvg-ST,8.0,100,25.23,18.16,7.07,0.8086711914634523,0.6053333333333333,0.6528755064853518,0.49710587728296063,3.7462258349318267,45.10288000926009,6.34,42.72,89.15625,0.013485146050431464,0.012782651554581435,0.04013692787709374,0.5597308162366682,0.017347831284647185,0.01801398428056649,1.4488487244231627
Heterogeneous,FedAvg-ST,10.0,100,25.29,18.17,7.12,0.8077763011352552,0.6056666666666666,0.65263134039771,0.49679619956104887,3.7479626407983218,45.11479660707645,6.0,50.0,84.375,0.013469730304921957,0.012756446645176665,0.04008558175163141,0.5598577578650231,0.017311142231011562,0.01810825629362626,1.4477635138099012
Heterogeneous,FedAvg-ST,15.0,100,25.31,18.13,7.18,0.8073701294800202,0.6043333333333333,0.6510231595392981,0.49531479222784386,3.753546133942655,45.15699978267649,5.42,66.3,76.21875,0.013618630195141994,0.01292046201414377,0.04012849033002109,0.5605783956383807,0.01742487482383339,0.018300284732210893,1.4649918122982837
Heterogeneous,FedAvg-ST,20.0,100,25.35,18.16,7.19,0.8073787655948282,0.6053333333333333,0.6520462523043743,0.4961858723863097,3.752037387280081,45.14258947736321,4.98,79.6,70.03125,0.013491895451904176,0.012775352577770464,0.03991832622539899,0.5581581775054467,0.017237497298950133,0.01835651598944995,1.4590279730912035
Heterogeneous,Local-only,,100,105.49,25.89,79.6,0.2604393473192909,0.863,0.3950547836322032,0.24851750295108388,2.8452748894433744,39.227999059974444,0.0,,0.0,0.006994050955134296,0.005497080173310198,0.026513281216723483,0.43964421057548014,0.007353431290194964,0.006217388206647207,2.8507130066817754
Heterogeneous,One-shot,,100,185.3,27.67,157.63,0.15668888033251174,0.9223333333333333,0.266006314372386,0.15430790659062757,3.1000412625090057,40.24525339818994,1.0,,14.0625,0.0048337591741017105,0.003267618032703476,0.02758365682238146,0.46489004223383884,0.004970282054743342,0.0034189923980962604,4.287908769570734
Heterogeneous,Pooled,,100,116.14,26.63,89.51,0.2561381467507598,0.8876666666666666,0.3882912060016844,0.24518085596619635,2.771950200426707,38.54901170515139,,,,0.009312119388682497,0.007473654958154503,0.02551664209807408,0.4425273872669607,0.00744082529243549,0.008458918894336323,4.0826565920347555
